,index,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force
0,1,1,2.0,49.1,86.9,114.6054131054131,2296.6,
1,2,1,2.0,71.5,200.2,190.3,4176.5,4.2
2,13,1,3.0,44.0,105.0,114.6054131054131,3280.8,
3,15,1,3.0,43.5,75.5,114.6054131054131,1624.0,
4,17,1,3.0,60.0,145.0,127.0,4198.0,5.2
5,18,1,3.0050420168067227,52.8,98.4,114.6054131054131,2706.7,4.0
6,20,1,3.0050420168067227,30.1,45.9,114.6054131054131,2575.5,2.2
7,21,1,3.0,58.0,130.0,114.6054131054131,3000.0,
8,25,0,3.0050420168067227,31.1,44.3,114.6054131054131,1765.1,
9,26,0,3.0050420168067227,29.1,42.7,114.6054131054131,1377.9,2.5
10,28,1,3.0,58.0,98.0,114.6054131054131,3000.0,
11,33,1,3.0050420168067227,73.0,208.0,205.0,5400.0,
12,35,1,3.0050420168067227,62.1,131.3,114.6054131054131,2001.7804232804233,4.2
13,36,0,3.0050420168067227,35.0,59.0,114.6054131054131,1427.0,
14,38,1,3.0050420168067227,41.0,64.0,56.0,1196.0,
15,39,1,3.0050420168067227,83.0,196.8,221.2,2001.7804232804233,4.5
16,40,1,3.0,55.0,109.0,114.6054131054131,3320.0,
17,41,1,3.0,55.9,101.8,114.6054131054131,2263.8,4.0
18,42,1,3.0050420168067227,45.51390243902439,49.3,114.6054131054131,2001.7804232804233,2.5
19,46,1,5.0,49.7,109.3,114.6054131054131,2260.5,
20,50,1,3.0050420168067227,41.0,57.1,52.5,1525.6,
21,51,0,3.0050420168067227,45.51390243902439,13.0,114.6054131054131,262.5,
22,56,1,1.0,62.0,150.0,114.6054131054131,863.0,
23,57,1,3.0050420168067227,74.0,213.0,205.0,5497.0,3.5
24,59,1,4.0,50.0,78.0,76.0,2160.0,
25,64,0,3.0050420168067227,45.51390243902439,16.4,114.6054131054131,721.8,
26,66,1,3.0050420168067227,51.5,101.6,89.6,3900.0,
27,67,1,3.0050420168067227,29.8,52.5,114.6054131054131,2578.8,
28,71,1,3.0050420168067227,72.0,205.0,194.7,5106.0,
29,74,1,3.0050420168067227,24.9,26.2,114.6054131054131,2001.7804232804233,
30,76,1,1.0,55.0,110.0,114.6054131054131,2050.5,4.8
31,77,1,2.0,45.51390243902439,151.6,114.6054131054131,590.6,
32,78,1,1.0,60.0,102.0,130.0,4429.0,4.0
33,79,1,3.0050420168067227,43.0,30.0,54.0,2800.0,4.0
34,81,1,3.0050420168067227,67.1,209.3,114.6054131054131,541.3,3.5
35,84,1,5.0,49.7,109.3,114.6054131054131,2260.5,
36,87,0,3.0,65.6,191.6,177.0,1204.0,4.5
37,91,1,3.0050420168067227,29.1,42.7,114.6054131054131,1377.9,2.5
38,92,1,3.0050420168067227,18.6,29.5,114.6054131054131,574.2,
39,94,1,4.0,50.0,103.7,90.0,2130.0,
40,95,1,6.0,64.6,164.1,147.7,3937.0,4.0
41,97,1,4.0,49.7,124.0,114.6054131054131,2001.7804232804233,
42,99,1,5.0,49.7,109.3,114.6054131054131,2510.0,
43,103,0,3.0050420168067227,18.6,19.7,114.6054131054131,803.8,
44,104,1,3.0050420168067227,24.2,29.5,114.6054131054131,728.3,
45,105,1,3.0050420168067227,59.3,78.1,114.6054131054131,3169.3,
46,106,1,1.0,62.1,131.2,114.6054131054131,2296.6,
47,107,1,4.0,60.0,145.0,137.0,3900.0,
48,109,1,5.0,49.7,101.7,114.6054131054131,2171.9,
49,111,1,4.0,54.7,114.8,114.6054131054131,2788.8,4.0
50,113,1,3.0050420168067227,34.2,55.8,114.6054131054131,1640.4,
