,Name,Park,Location,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force,Layout,Manufacturer
0,Oruga Feliz,Perimágico,"Cuatlitlán Itzcalli, México, Mexico",Defunct,,,,,,,Big Apple / Wacky Worm,
1,Colossus the Fire Dragon,Lagoon,"Farmington, Utah, United States",Operating,2.0,49.1,86.9,,2296.6,,,Schwarzkopf
2,Flash,Lewa Adventure,"Jingyang, Xianyang, Shaanxi, China",Operating,2.0,71.5,200.2,190.3,4176.5,4.2,,Mack Rides GmbH & Co KG
3,Thriller,Euclid Beach,"Cleveland, Ohio, United States",Defunct,,,71.4,,2927.0,,,"Philadelphia Toboggan Coasters, Inc."
4,Tren de Potosí,Isla Mágica,"Seville, Seville, Andalusia, Spain",Operating,,,,,,,,C&S
5,Atomic Mouse,Gwangju Family Land,"Gwangju, South Korea",Operating,,,,,,,Wild Mouse,Meisho Amusement Machines
6,Spinning Batman,Beijing Shijingshan Amusement Park,"Shijingshan, Beijing, China",Defunct,,,,,,,,Beijing Shibaolai Amusement Equipment
7,Super Camel Coaster,Tedori Fish Land,"Terai, Ishikawa, Japan",Operating,,,,,3280.8,,,Meisho Amusement Machines
8,Brocomela,Family Park,"Calp, Alicante, Valencian Community, Spain",Operating,,,,,,,Big Apple / Wacky Worm,
9,Blue Flyer,Blackpool Pleasure Beach,"Blackpool, Lancashire, England, United Kingdom",Operating,,,,,1099.1,,,
10,Ultra Twister,Nagashima Spa Land,"Nagashima, Kuwana, Mie, Japan",Operating,3.0,,,,,,,Togo
11,Ba-a-a-Express,Europa Park,"Rust, Baden Wuerttemberg, Germany",Operating,,,,,262.5,,Oval,Mack Rides GmbH & Co KG
12,Dragon Coaster,Dorney Park & Wildwater Kingdom,"Allentown, Pennsylvania, United States",Defunct,,,,,213.3,,Single Helix (center),Zamperla
13,Star Wars Hyperspace Mountain: Rebel Mission,Disneyland Paris - Disneyland Park,"Marne la Vallée, Île-de-France, France",Operating,3.0,44.0,105.0,,3280.8,,,Vekoma
14,Wacky Worm,Vluchtheuvel,"Norg, Drenthe, Netherlands",Defunct,,,,,,,Big Apple / Wacky Worm,
15,Roller Coaster,People's Park,"Jinshui, Zhengzhou, Henan, China",Operating,3.0,43.5,75.5,,1624.0,,,Sameco
16,Pine Forest Flying Mouse,Shiba Luohan Mountain Forest Park,"Nansha, Guangzhou, Guangdong, China",Operating,,,,,,,Jungle Mouse,
17,Mindbender,Galaxyland Amusement Park,"Edmonton, Alberta, Canada",Operating,3.0,60.0,145.0,127.0,4198.0,5.2,,Schwarzkopf
18,DrageKongen,Djurs Sommerland,"Nimtofte, Midtjylland, Denmark",Operating,,52.8,98.4,,2706.7,4.0,,Intamin Amusement Rides
19,Big Dipper,Blackpool Pleasure Beach,"Blackpool, Lancashire, England, United Kingdom",Operating,,,60.0,,3300.0,,,
20,Dragon in Snowfield,Happy Valley,"Jinniu, Chengdu, Sichuan, China",Operating,,30.1,45.9,,2575.5,2.2,,Vekoma
21,Jersey Devil Coaster,Six Flags Great Adventure,"Jackson, New Jersey, United States",Under Construction,3.0,58.0,130.0,,3000.0,,,Rocky Mountain Construction
22,Monster Mouse,Playland Park,"Rye, New York, United States",Defunct,,,,,,,Wild Mouse,Allan Herschell Company
23,Children Roller Coaster,Eram Park,"Tehran, Tehran, Iran",Operating,,,,,,,Oval,
24,Spinning Coaster,Changsha Ecological Zoo,"Changsha, Changsha, Hunan, China",Operating,,,,,,,Wild Mouse,Golden Horse
